Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
S,,AB,*,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,**,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895 - Copy.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,*,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,AL,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.JPG,C:\CPCe_41_inst\Helicopter Island\Transect 1\GOPR2895.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
