Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
MILL,,HC,*,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORB,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTB,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORB,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,AA,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORB,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,AA,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,AA,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTB,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL,,HC,**,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 1\GOPR6910.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
