Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
SP,,OB,*,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,AA,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COE,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORB,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,,OB,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORB,,HC,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,AA,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,AA,,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,,HC,**,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.JPG,C:\CPCe_41_inst\Corals Data\Sorted\Siete Picados\Transect 3\GOPR6954.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
