Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
R,,AB,*,c:\Users\Dell\Desktop\Mitri Rock\T1\GOPR0807.JPG,C:\CPCe_41_inst\Mitri Rock\T1\GOPR0807.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T1\GOPR0807.JPG,C:\CPCe_41_inst\Mitri Rock\T1\GOPR0807.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T1\GOPR0807.JPG,C:\CPCe_41_inst\Mitri Rock\T1\GOPR0807.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,c:\Users\Dell\Desktop\Mitri Rock\T1\GOPR0807.JPG,C:\CPCe_41_inst\Mitri Rock\T1\GOPR0807.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T1\GOPR0807.JPG,C:\CPCe_41_inst\Mitri Rock\T1\GOPR0807.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T1\GOPR0807.JPG,C:\CPCe_41_inst\Mitri Rock\T1\GOPR0807.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,c:\Users\Dell\Desktop\Mitri Rock\T1\GOPR0807.JPG,C:\CPCe_41_inst\Mitri Rock\T1\GOPR0807.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF,,HC,,c:\Users\Dell\Desktop\Mitri Rock\T1\GOPR0807.JPG,C:\CPCe_41_inst\Mitri Rock\T1\GOPR0807.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,c:\Users\Dell\Desktop\Mitri Rock\T1\GOPR0807.JPG,C:\CPCe_41_inst\Mitri Rock\T1\GOPR0807.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,**,c:\Users\Dell\Desktop\Mitri Rock\T1\GOPR0807.JPG,C:\CPCe_41_inst\Mitri Rock\T1\GOPR0807.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
