Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
ACS,,HC,*,C:\corals\Site2-Helicopter island\T1\GOPR0219.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0219.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0219.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0219.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0219.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0219.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0219.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0219.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0219.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0219.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0219.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0219.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0219.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0219.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0219.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0219.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0219.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0219.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\corals\Site2-Helicopter island\T1\GOPR0219.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0219.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,C:\corals\Site2-Helicopter island\T1\GOPR0220.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0220.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0220.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0220.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0220.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0220.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0220.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0220.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0220.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0220.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0220.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0220.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0220.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0220.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0220.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0220.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0220.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0220.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\corals\Site2-Helicopter island\T1\GOPR0220.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0220.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,C:\corals\Site2-Helicopter island\T1\GOPR0221.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0221.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0221.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0221.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0221.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0221.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0221.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0221.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0221.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0221.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0221.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0221.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T1\GOPR0221.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0221.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T1\GOPR0221.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0221.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0221.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0221.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\corals\Site2-Helicopter island\T1\GOPR0221.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0221.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,*,C:\corals\Site2-Helicopter island\T1\GOPR0222.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0222.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0222.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0222.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0222.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0222.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0222.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0222.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0222.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0222.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0222.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0222.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0222.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0222.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0222.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0222.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0222.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0222.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,**,C:\corals\Site2-Helicopter island\T1\GOPR0222.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0222.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,,HC,*,C:\corals\Site2-Helicopter island\T1\GOPR0223.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0223.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0223.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0223.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0223.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0223.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0223.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0223.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0223.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0223.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,,HC,,C:\corals\Site2-Helicopter island\T1\GOPR0223.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0223.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,AB,,C:\corals\Site2-Helicopter island\T1\GOPR0223.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0223.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0223.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0223.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T1\GOPR0223.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0223.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,**,C:\corals\Site2-Helicopter island\T1\GOPR0223.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0223.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,C:\corals\Site2-Helicopter island\T1\GOPR0224.JPG,C:\corals\Site2-Helicopter island\T1\GOPR0224.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
