Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
DCA,,DC,*,C:\corals\Site2-Helicopter island\T2\GOPR0267.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0267.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0267.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0267.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T2\GOPR0267.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0267.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0267.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0267.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0267.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0267.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0267.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0267.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0267.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0267.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0267.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0267.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0267.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0267.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\corals\Site2-Helicopter island\T2\GOPR0267.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0267.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,*,C:\corals\Site2-Helicopter island\T2\GOPR0268.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0268.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0268.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0268.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0268.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0268.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0268.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0268.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0268.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0268.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0268.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0268.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0268.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0268.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0268.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0268.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0268.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0268.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\corals\Site2-Helicopter island\T2\GOPR0268.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0268.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,C:\corals\Site2-Helicopter island\T2\GOPR0269.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0269.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0269.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0269.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0269.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0269.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0269.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0269.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0269.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0269.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0269.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0269.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T2\GOPR0269.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0269.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME,,HC,,C:\corals\Site2-Helicopter island\T2\GOPR0269.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0269.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0269.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0269.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,**,C:\corals\Site2-Helicopter island\T2\GOPR0269.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0269.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,AL,*,C:\corals\Site2-Helicopter island\T2\GOPR0270.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0270.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,C:\corals\Site2-Helicopter island\T2\GOPR0270.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0270.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0270.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0270.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,C:\corals\Site2-Helicopter island\T2\GOPR0270.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0270.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0270.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0270.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0270.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0270.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME,,HC,,C:\corals\Site2-Helicopter island\T2\GOPR0270.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0270.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME,,HC,,C:\corals\Site2-Helicopter island\T2\GOPR0270.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0270.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0270.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0270.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,**,C:\corals\Site2-Helicopter island\T2\GOPR0270.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0270.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,C:\corals\Site2-Helicopter island\T2\GOPR0271.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0271.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0271.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0271.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\corals\Site2-Helicopter island\T2\GOPR0271.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0271.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0271.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0271.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0271.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0271.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME,,HC,,C:\corals\Site2-Helicopter island\T2\GOPR0271.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0271.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T2\GOPR0271.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0271.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\corals\Site2-Helicopter island\T2\GOPR0271.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0271.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\corals\Site2-Helicopter island\T2\GOPR0271.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0271.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,**,C:\corals\Site2-Helicopter island\T2\GOPR0271.JPG,C:\corals\Site2-Helicopter island\T2\GOPR0271.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
